query,address,lon,lat
新安服务区,广东广州市增城区,113.584907,23.383078
曲江服务区,广东韶关市曲江区,113.603729,24.644732
龙胜服务区,广东江门市开平市,112.452804,22.540228
雷州服务区,广东湛江市雷州市,110.006339,20.745733
横山服务区,广东湛江市廉江市,110.047546,21.5147
遂溪服务区,广东湛江市遂溪县,110.084504,21.066058
廉江停车区,广东湛江市廉江市,110.148826,21.515179
良垌服务区,广东湛江市廉江市,110.400401,21.580523
官渡服务区,广东湛江市坡头区,110.46361,21.446125
良光服务区,广东茂名市化州市,110.538733,21.542912
石湾停车区,广东茂名市化州市,110.562158,21.685548
石鼓服务区,广东茂名市高州市,110.799633,21.777442
水口服务区,广东茂名市信宜市,110.953922,22.293488
泗水停车区,广东茂名市高州市,111.006156,21.828173
茂名服务区,广东茂名市高州市,111.008324,21.787051
电白服务区,广东茂名市电白区,111.064191,21.635177
白沙停车区,广东湛江市雷州市,111.192331,23.415991
那霍服务区,广东茂名市电白区,111.263585,21.893821
观珠停车区,广东茂名市电白区,111.263954,21.696698
大桥服务区,广东韶关市乳源瑶族自治县,113.151511,25.018482
八甲停车区,广东阳江市阳春市,111.469995,22.01671
建城服务区,广东云浮市郁南县,111.551136,23.15405
封开服务区,广东肇庆市封开县,111.562166,23.356943
附城服务区,广东云浮市罗定市,111.57758,22.799295
潭水服务区,广东阳江市阳春市,111.616592,22.122888
阳西服务区,广东阳江市阳西县,111.649687,21.826725
华石服务区,广东云浮市罗定市,111.67402,22.743721
马水停车区,广东阳江市阳春市,111.712136,22.182364
宾村停车区,广东肇庆市德庆县,111.725438,23.235128
逍遥口停车区,广东云浮市郁南县,111.758762,23.005404
苹塘服务区,广东云浮市罗定市,111.759875,22.770884
漠阳江服务区,广东阳江市阳东区,111.799723,22.005031
阳春服务区,广东阳江市阳春市,111.861289,22.397635
葵洞服务区,广东云浮市云安区,111.89143,22.974044
高良停车区,广东肇庆市德庆县,111.916286,23.243747
阳江服务区,广东阳江市江城区,112.00102,21.926788
梁村停车区,广东肇庆市怀集县,112.004288,23.97466
天堂停车区,广东云浮市新兴县,112.052506,22.563293
永丰停车区,广东清远市连山壮族瑶族自治县,112.093629,24.475673
播植服务区,广东肇庆市德庆县,112.097843,23.266635
大沟服务区,广东阳江市阳东区,112.114414,21.823995
连麦停车区,广东肇庆市怀集县,112.122853,24.028038
小三江服务区,广东清远市连山壮族瑶族自治县,112.129231,24.284466
安塘服务区,广东云浮市云城区,112.19164,22.944629
都杨停车区,广东云浮市云安区,112.200127,23.002678
车岗服务区,广东云浮市新兴县,112.201029,22.805398
新城服务区,广东云浮市新兴县,112.222608,22.73949
大槐服务区,广东江门市恩平市,112.227711,22.07555
怀城服务区,广东肇庆市怀集县,112.227878,23.820072
怀集服务区,广东肇庆市怀集县,112.237101,23.982395
丰阳服务区,广东清远市连州市,112.264565,25.050067
青龙停车区,广东清远市连州市,112.293969,24.821228
笋围停车区,广东肇庆市高要区,112.349022,23.188833
水南服务区,广东肇庆市高要区,112.397288,23.29823
阳山北服务区,广东清远市阳山县,112.436967,24.586542
