name,province,city,area,lon,lat
雷州服务区,广东省,湛江市,雷州市,109.99745074384164,20.741809554612583
雷州服务区,广东省,湛江市,雷州市,109.99554702825604,20.74243650771261
合水服务区,广东省,湛江市,廉江市,110.2841831232659,21.47928235261548
吴川服务区,广东省,湛江市,吴川市,110.7114696252459,21.47057079289933
横山服务区,广东省,湛江市,廉江市,110.03524888056964,21.50913880117213
横山服务区,广东省,湛江市,廉江市,110.03664996775774,21.510814227969515
良光服务区,广东省,茂名市,化州市,110.52796602347192,21.53930492185233
吴川服务区,广东省,湛江市,吴川市,110.70782897184486,21.47151612564972
良垌服务区,广东省,湛江市,廉江市,110.38942219886704,21.57660558918625
良垌服务区,广东省,湛江市,廉江市,110.38896022406298,21.578832868081456
电白服务区,广东省,茂名市,电白区,111.05264051141394,21.63194494585923
石岭服务区,广东省,湛江市,廉江市,110.13558522276917,21.71134872011297
石岭服务区,广东省,湛江市,廉江市,110.13425368307053,21.7139805083044
石鼓服务区,广东省,茂名市,高州市,110.79028982346676,21.77616586020264
茂名服务区,广东省,茂名市,高州市,110.9993433047346,21.784816446485003
茂名服务区,广东省,茂名市,高州市,110.9971152085838,21.783363319022904
石鼓服务区,广东省,茂名市,高州市,110.78855351755884,21.774174509976653
大沟服务区,广东省,阳江市,阳东区,112.10391972246848,21.81975917558653
大沟服务区,广东省,阳江市,阳东区,112.10263593491904,21.8204372601378
那霍服务区,广东省,茂名市,电白区,111.2498797716929,21.89114505646512
那霍服务区,广东省,茂名市,电白区,111.2521362025222,21.890305318331915
上川岛服务区,广东省,江门市,台山市,112.69489200913166,21.879145927854005
漠阳江服务区,广东省,阳江市,阳东区,111.78802873447448,22.0020647733709
漠阳江服务区,广东省,阳江市,阳东区,111.78638094785772,22.00257615112658
潭水服务区,广东省,阳江市,阳春市,111.60305374028452,22.12039214109172
潭水服务区,广东省,阳江市,阳春市,111.60517259551102,22.119576666444413
斗门服务区,广东省,珠海市,斗门区,113.19665175728566,22.205468810493656
斗门服务区,广东省,珠海市,斗门区,113.19601205548216,22.20689471644468
大托服务区,广东省,珠海市,斗门区,113.27437534175048,22.27014078110572
镇隆服务区,广东省,茂名市,信宜市,110.81961765785827,22.25334948891388
水口服务区,广东省,茂名市,信宜市,110.94277765670796,22.29080278166776
水口服务区,广东省,茂名市,信宜市,110.9448194952861,22.28983316057243
合水服务区,广东省,江门市,台山市,112.82399177442711,22.276089532163976
赤坎服务区,广东省,江门市,开平市,112.64572364873764,22.30778252253497
赤坎服务区,广东省,江门市,开平市,112.64515514710168,22.309844705954216
阳春服务区,广东省,阳江市,阳春市,111.84981911725424,22.394417397100483
平塘服务区,广东省,茂名市,信宜市,111.32050478781832,22.45435471715484
平塘服务区,广东省,茂名市,信宜市,111.3226368099574,22.45875442157283
龙胜服务区,广东省,江门市,开平市,112.44112065740045,22.53664981099209
龙胜服务区,广东省,江门市,开平市,112.44274976386302,22.537293367668028
梁金山服务区,广东省,江门市,开平市,112.67869712779564,22.455445117471896
梁金山服务区,广东省,江门市,开平市,112.67895962611524,22.454023710755507
沙溪服务区,广东省,中山市,,113.28288604755016,22.535496787178776
沙溪服务区,广东省,中山市,,113.28134921608697,22.535958462735334
东升服务区,广东省,中山市,,113.27910355609188,22.5893297010616
东升服务区,广东省,中山市,,113.2793248110112,22.59063815009392
罗平服务区,广东省,云浮市,罗定市,111.58923635452544,22.647091981914265
民众服务区,广东省,中山市,,113.44293974952436,22.640559845316385
雅瑶服务区,广东省,江门市,鹤山市,112.98633269395286,22.71876311688185
广深福永服务区,广东省,深圳市,宝安区,113.84279571804151,22.697899004392973
荷坳服务区,广东省,深圳市,龙岗区,114.21379847723092,22.67966607748681
华石服务区,广东省,云浮市,罗定市,111.66236296622564,22.740980300481308
华石服务区,广东省,云浮市,罗定市,111.66421392002133,22.74216578331817
雅瑶服务区,广东省,江门市,鹤山市,112.98434210058312,22.71933665190333
棠下服务区,广东省,江门市,蓬江区,113.0188983909141,22.697127210885807
